group,names,scores,logfoldchanges,pvals,pvals_adj
0,Ankrd44,26.939125,0.6858468,7.649694937890821e-160,4.538100715267062e-158
0,Sez6,26.914865,0.68444914,1.471346228275653e-159,8.713265818625027e-158
0,Pcsk1n,26.90387,0.5387373,1.9787948075671865e-159,1.1697801725576125e-157
0,Cacng2,26.88883,0.983524,2.9669631181386995e-159,1.750871965478137e-157
0,Stx7,26.887848,0.5333999,3.0465733996393414e-159,1.7947086936057213e-157
0,Mapre2,26.761953,0.53941244,8.963806512654522e-158,5.225682080456864e-156
0,Fry,26.731339,0.61989737,2.03527100308498e-157,1.1824222710336463e-155
0,Sh3rf3,26.725836,0.6878889,2.3581586846259516e-157,1.367650861224717e-155
0,Cyria,26.703377,0.70314443,4.30040891743196e-157,2.481277035647043e-155
0,Pik3r1,26.69528,0.5484119,5.339823052705404e-157,3.0757380783583127e-155
0,Olfm2,26.621302,0.75569457,3.847879001470115e-156,2.2088267603668995e-154
0,Rundc3b,26.616108,0.6953404,4.4192084506893675e-156,2.532477006027703e-154
0,Rab6b,26.561558,0.531883,1.8885723471954176e-155,1.0804301156383156e-153
0,Igsf3,26.552807,0.8095091,2.383529583637331e-155,1.3612781839024322e-153
0,Gm16351,26.388786,0.6853353,1.8428723353566883e-153,1.043654222053428e-151
0,Ids,26.198637,0.63261896,2.7541999328487824e-151,1.5390633654605734e-149
0,D430019H16Rik,26.072824,0.70659053,7.415261058156468e-150,4.0961415838629565e-148
0,Sestd1,26.04602,0.5935012,1.4925085841036375e-149,8.217576674829439e-148
0,Pak1,26.0399,0.6188811,1.7508548469792605e-149,9.60860015045817e-148
0,Nipsnap1,25.97837,0.6485299,8.695332493417594e-149,4.7487507892738933e-147
0,Wdr47,25.737257,0.6073775,4.477111231811919e-146,2.3984219406539654e-144
0,Tspyl4,25.725384,0.51240516,6.079790689041626e-146,3.251819477110264e-144
0,A330084C13Rik,25.596313,1.1617688,1.676756461348961e-144,8.89763554671096e-143
0,Cdkl5,25.588007,0.679768,2.0745723283499994e-144,1.0991319052843016e-142
0,Srrm3,25.536272,0.6406217,7.800857487546277e-144,4.113578934277925e-142
0,Smpd3,25.522367,0.7199224,1.1131047416771816e-143,5.8604964649303614e-142
0,Cmas,25.477966,0.5710439,3.459545551264434e-143,1.8186091559345768e-141
0,Lmo3,25.460245,0.69712293,5.43669285104683e-143,2.849063799515925e-141
0,Sh3gl3,25.423265,0.7304321,1.3950033072660231e-142,7.25401719778332e-141
0,Ccng2,25.417908,0.8093592,1.5988152922526101e-142,8.301029289328805e-141
0,Gprin1,25.405277,0.7919662,2.205062613645907e-142,1.1413485380862134e-140
0,Cdh8,25.385141,0.65812993,3.679962202210463e-142,1.9018405884307324e-140
0,Gng3,25.211323,0.5937276,3.009839876602762e-140,1.5320175903626387e-138
0,Tfap2d,25.209782,2.05415,3.129224859228146e-140,1.5903825166900696e-138
0,Adgrl1,25.036522,0.57832026,2.4480435036320543e-138,1.2256950059195497e-136
0,Nrg3os,25.024612,0.5354432,3.299961136508771e-138,1.6497847248634948e-136
0,Samd12,24.963043,0.61024684,1.541242218556109e-137,7.626093655868818e-136
0,Fam117b,24.942802,0.5739573,2.5560550433579907e-137,1.2610370533087973e-135
0,Gm26871,24.850946,0.58825254,2.52565548279932e-136,1.23878438352847e-134
0,St8sia3,24.835691,0.94638526,3.691831736020994e-136,1.8055146905219653e-134
0,Pnma8b,24.759445,0.6343114,2.4529488141552225e-135,1.1927065402853445e-133
0,Gtdc1,24.730188,0.52117485,5.065328800424962e-135,2.4487994154823463e-133
0,Dda1,24.721165,0.5351827,6.333956957357487e-135,3.0533478345510423e-133
0,Adamts3,24.67399,0.92573565,2.0346763269099385e-134,9.780378532319155e-133
0,Commd3,24.642944,0.50150806,4.380332048183588e-134,2.0995685447452942e-132
0,Tbc1d9,24.618034,0.6311777,8.09834864329795e-134,3.870666040915854e-132
0,Kif5a,24.525715,0.5656676,7.85608878065965e-133,3.7442541379506025e-131
0,Svop,24.303549,0.75764483,1.7981211093893555e-130,8.485922815403883e-129
0,Rbfox3,24.27009,0.5092476,4.057977230856227e-130,1.9070795086601314e-128
0,Fam110b,24.2208,0.6025907,1.3433782916372037e-129,6.295754508345928e-128
0,Mir124a-1hg,24.117607,0.75285107,1.633878062217422e-128,7.625367754082861e-127
0,Mapk8,24.100735,0.52455807,2.4557707744008357e-128,1.1429509946714166e-126
0,Sez6l,24.054365,0.67672265,7.514524985044149e-128,3.4877332492568545e-126
0,Syp,24.031755,0.69434416,1.2953593697528136e-127,5.987438864635228e-126
0,Itpr1,24.025528,0.8181936,1.5048433890430424e-127,6.946192169478679e-126
0,Rtn2,24.0137,0.6552844,2.0002281204033577e-127,9.220203385104177e-126
0,Prmt2,24.010382,0.5631307,2.166433107751695e-127,9.972695355027473e-126
0,Kazn,23.948866,0.5711075,9.49494844900892e-127,4.3352545113523656e-125
0,Macroh2a2,23.920984,0.50739473,1.8528123227742012e-126,8.436805949756688e-125
0,Dusp1,23.841927,0.9214358,1.2280269297198566e-125,5.5543081105825896e-124
